,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
41,42,341,4,2005.0,9,359,2.55,3.52,5.33,0.88
42,43,5490,2,2011.0,6,359,4.74,3.91,2.67,0.89
43,44,3828,28,2007.0,8,323,7.97,2.83,0.13,1.21
44,45,3650,18,2014.0,0,493,3.8,5.81,0.36,2.02
45,46,7235,4,2009.0,0,359,4.4,2.77,3.96,0.77
46,47,9197,10,1996.0,4,359,6.91,2.85,1.91,0.23
47,48,3632,16,2004.0,6,455,3.01,0.01,1.1,7.53
48,49,9205,26,2007.0,4,359,6.16,3.4,1.2,0.76
49,50,7240,2,2014.0,7,359,4.23,3.37,3.08,0.65
50,51,9209,5,1992.0,1,359,6.16,2.04,2.69,0.29
51,52,3649,28,2008.0,0,493,6.76,3.1,0.14,1.03
52,53,3628,15,1997.0,6,455,4.02,3.87,2.54,0.52
53,54,9195,2,2011.0,4,359,4.89,2.99,2.13,0.78
54,55,3634,17,2010.0,6,455,2.96,4.88,0.81,2.12
55,56,1209,17,2009.0,8,21,4.99,3.69,0.38,1.63
56,57,3649,17,2008.0,0,493,4.76,3.76,0.44,1.62
57,58,9199,23,1993.0,4,359,5.99,2.15,2.12,0.29
58,59,7233,6,2004.0,7,359,4.34,2.65,3.15,0.35
59,60,9197,4,2004.0,4,359,5.08,3.11,1.25,0.98
60,61,4632,26,2011.0,3,524,6.05,3.15,0.0,1.07
61,62,1208,28,2013.0,8,21,6.72,2.63,0.04,0.82
62,63,3836,28,2010.0,8,323,7.03,1.98,0.08,0.78
63,64,5489,10,1996.0,6,359,5.55,1.94,2.23,0.15
64,65,6633,2,2012.0,4,359,3.66,3.07,2.47,0.63
65,66,3830,28,2012.0,8,323,6.63,2.36,0.04,0.73
66,67,3107,15,1997.0,7,455,3.01,2.47,3.28,0.96
67,68,1208,17,2013.0,8,21,4.09,3.73,0.38,1.38
68,69,4627,26,2010.0,3,524,5.84,2.89,0.01,0.78
69,70,3630,15,1999.0,6,455,3.88,3.42,1.69,0.5
70,71,1201,28,2007.0,8,21,5.91,2.38,0.13,0.9
71,72,2283,23,1994.0,4,359,4.36,1.71,3.0,0.23
72,73,5847,28,2013.0,3,323,5.58,2.83,0.02,0.77
73,74,340,2,2012.0,9,359,2.01,2.32,4.36,0.41
74,75,5508,4,2007.0,3,359,4.46,1.88,1.98,0.7
75,76,9673,28,2011.0,7,66,5.03,2.86,0.1,0.85
76,77,9207,23,1992.0,6,359,3.54,1.24,3.81,0.18
77,78,2875,18,2015.0,10,138,1.11,6.06,0.06,1.26
78,79,10845,26,2010.0,3,359,1.79,3.53,2.49,0.68
79,80,3826,29,2004.0,8,323,6.82,1.53,0.05,0.08
80,81,5505,26,2007.0,3,359,3.81,2.3,1.58,0.73
81,82,7225,4,2012.0,7,359,2.91,1.86,3.14,0.43
82,83,2890,17,2012.0,0,138,1.06,5.05,0.13,2.01
83,84,9932,13,2009.0,9,138,0.98,6.42,0.0,0.71
84,85,3604,10,1997.0,8,359,5.8,2.01,0.13,0.15
85,86,5478,26,2007.0,10,445,2.58,3.9,0.66,0.91
86,87,3110,16,2001.0,7,455,2.91,2.07,2.73,0.33
87,88,3109,15,1999.0,7,465,2.28,1.72,3.63,0.23
88,89,7267,4,2008.0,7,359,2.82,1.78,2.69,0.55
89,90,6929,0,1982.0,5,53,7.28,0.45,0.0,0.08
90,91,3652,19,2005.0,0,493,2.9,2.83,0.24,1.75
91,92,9206,26,2010.0,4,359,3.66,2.42,0.98,0.64
92,93,8948,18,2015.0,8,138,2.93,3.29,0.22,1.23
93,94,1203,18,2014.0,8,21,2.8,3.3,0.14,1.37
94,95,9826,10,1998.0,0,359,4.1,1.89,1.45,0.16
95,96,1631,15,1997.0,4,455,3.78,2.17,1.31,0.31
96,97,9202,11,1988.0,4,359,5.39,1.18,0.7,0.19
97,98,9290,2,2014.0,2,359,3.24,1.35,2.42,0.43
98,99,1217,28,2008.0,8,21,4.79,1.9,0.0,0.69
99,100,708,28,2011.0,8,138,4.46,2.13,0.06,0.69
100,101,9835,26,2006.0,0,359,3.83,2.19,0.6,0.7
101,102,1205,30,2015.0,8,21,4.52,2.09,0.01,0.67
102,103,4626,26,2009.0,3,524,3.51,3.03,0.0,0.73
103,104,708,17,2011.0,8,138,2.85,2.93,0.35,1.1
104,105,6577,16,2003.0,6,138,3.27,2.83,0.08,1.02
105,106,9524,15,1998.0,2,455,3.27,2.22,1.4,0.29
106,107,1633,15,1998.0,4,455,3.68,1.75,1.42,0.28
107,108,9289,7,2001.0,2,359,4.41,1.04,1.39,0.22
108,109,5491,27,2014.0,6,359,3.13,2.07,1.27,0.49
109,110,2931,18,2015.0,7,66,2.47,3.15,0.24,1.1
110,111,5494,7,2003.0,6,359,4.12,1.77,0.87,0.19
111,112,4633,26,2012.0,3,524,4.14,2.21,0.0,0.56
112,113,2873,17,2013.0,10,138,0.78,4.32,0.07,1.73
113,114,6578,16,2004.0,6,138,2.71,3.02,0.08,1.09
114,115,5613,16,2002.0,8,138,2.93,2.75,0.17,0.99
115,116,10484,17,2011.0,0,455,2.77,2.8,0.19,1.06
116,117,1630,15,1996.0,4,455,3.23,2.35,0.94,0.3
117,118,11295,26,2010.0,10,6,3.5,2.64,0.0,0.67
118,119,3452,28,2008.0,8,323,4.15,1.92,0.06,0.64
119,120,10483,17,2009.0,0,455,3.27,2.25,0.21,1.0
120,121,1201,17,2007.0,8,21,3.1,2.3,0.28,1.04
121,122,2872,17,2011.0,10,138,0.84,4.32,0.11,1.42
122,123,783,4,2005.0,3,359,1.67,2.78,1.6,0.62
123,124,7721,17,2010.0,0,493,2.79,2.61,0.17,1.03
124,125,2874,18,2014.0,10,138,0.79,4.29,0.05,1.47
125,126,2288,26,2010.0,4,359,3.25,1.84,1.03,0.47
126,127,9673,17,2011.0,7,66,2.55,2.71,0.25,1.05
127,128,9818,11,1986.0,0,359,3.74,0.93,1.69,0.14
128,129,483,17,2012.0,0,524,2.64,2.56,0.16,1.14
129,130,3834,29,2001.0,8,323,4.98,1.3,0.08,0.07
130,131,7263,6,2004.0,7,359,2.57,1.58,2.06,0.21
131,132,4865,16,2002.0,7,455,3.64,1.2,1.49,0.07
132,133,7262,5,2000.0,7,359,2.55,1.56,1.29,0.99
133,134,3829,28,2009.0,8,323,4.34,1.35,0.06,0.61
134,135,7721,28,2010.0,0,493,3.7,1.97,0.09,0.57
135,136,9214,7,2002.0,4,359,4.01,1.26,0.87,0.17
136,137,9065,23,1992.0,2,85,2.47,0.83,2.87,0.12
137,138,11018,13,2004.0,7,21,0.07,6.21,0.0,0.0
138,139,2521,15,1999.0,0,177,3.11,2.8,0.02,0.33
139,140,4844,28,2010.0,10,323,3.92,1.78,0.03,0.51
140,141,3453,28,2011.0,8,323,4.05,1.62,0.07,0.49
141,142,3451,28,2006.0,8,323,3.54,1.9,0.07,0.6
142,143,5736,16,2001.0,0,275,2.45,2.01,0.87,0.72
143,144,8749,8,1992.0,4,445,4.47,1.2,0.16,0.19
144,145,5740,17,2008.0,0,275,2.63,1.74,0.83,0.83
145,146,5735,15,1998.0,0,275,3.18,1.83,0.78,0.24
146,147,9798,17,2013.0,0,457,2.41,2.28,0.28,1.01
147,148,3124,16,2006.0,7,464,1.88,0.0,2.33,1.74
148,149,5155,17,2008.0,4,455,2.8,2.05,0.17,0.9
149,150,2434,4,2009.0,7,359,0.66,0.69,4.35,0.15
150,151,5044,26,2007.0,0,288,3.66,1.63,0.0,0.53
151,152,7763,15,1998.0,0,540,1.88,1.47,2.02,0.45
152,153,9523,15,1996.0,2,455,2.26,1.89,1.36,0.23
153,154,1586,4,2006.0,9,6,3.13,1.94,0.07,0.58
154,155,2037,18,2014.0,8,21,2.49,2.05,0.16,0.96
155,156,9581,11,1988.0,5,359,2.97,0.69,1.81,0.11
156,157,481,17,2009.0,0,524,2.54,1.95,0.21,0.87
157,158,9287,10,1999.0,2,359,2.95,0.6,1.97,0.04
158,159,478,28,2007.0,1,524,3.28,1.65,0.07,0.55
159,160,659,17,2011.0,0,547,2.7,1.91,0.11,0.8
160,161,3230,28,2009.0,6,323,2.99,1.92,0.1,0.51
161,162,5973,19,2008.0,7,85,0.47,0.57,4.13,0.34
162,163,9198,6,2001.0,4,359,3.14,1.24,0.91,0.2
163,164,5495,6,2001.0,6,359,2.62,1.64,0.99,0.23
164,165,9215,6,2001.0,4,359,3.21,1.11,0.95,0.2
165,166,7252,10,1999.0,11,359,3.18,1.24,0.94,0.09
166,167,1217,17,2008.0,8,21,2.72,1.87,0.0,0.84
167,168,1636,16,2001.0,4,527,2.07,2.29,0.24,0.82
168,169,5847,17,2014.0,3,455,1.97,2.51,0.0,0.94
169,170,3127,17,2009.0,7,464,1.74,1.24,1.87,0.52
170,171,2352,5,1989.0,5,359,2.18,0.96,2.0,0.2
171,172,7241,5,1999.0,3,359,3.02,1.12,1.01,0.16
172,173,483,28,2012.0,0,524,3.13,1.71,0.03,0.44
173,174,3096,15,2000.0,7,465,1.62,0.77,2.78,0.14
174,175,3113,16,2003.0,7,138,1.92,1.08,2.11,0.17
175,176,2280,10,1999.0,4,359,3.33,0.79,1.09,0.06
176,177,481,28,2009.0,0,524,3.1,1.56,0.08,0.51
177,178,7449,4,2007.0,5,359,1.22,2.48,1.03,0.52
178,179,10190,15,1997.0,0,137,2.3,2.46,0.2,0.28
179,181,2450,16,2004.0,7,464,0.65,0.75,3.61,0.2
180,182,2085,13,2012.0,7,21,2.43,2.15,0.0,0.62
181,183,9203,6,2003.0,4,359,2.93,1.25,0.83,0.2
182,184,6634,27,2012.0,4,359,2.32,1.3,1.27,0.31
183,185,9210,5,1994.0,4,359,2.49,0.98,1.57,0.15
184,186,2890,28,2012.0,0,138,1.08,3.48,0.03,0.58
185,187,9829,4,2007.0,0,359,1.9,1.83,0.95,0.49
186,188,2285,23,1995.0,4,359,2.1,0.74,2.2,0.11
187,189,10200,2,2013.0,9,359,0.96,2.02,1.89,0.28
188,190,5478,4,2008.0,10,445,1.64,2.48,0.44,0.58
189,191,5615,16,2003.0,8,138,1.98,2.23,0.13,0.8
190,192,4904,5,1992.0,4,359,2.71,0.61,1.7,0.11
191,193,2911,28,2010.0,7,323,3.59,1.11,0.05,0.38
192,194,1203,30,2014.0,8,21,3.21,1.53,0.01,0.38
193,195,5801,13,1996.0,9,323,3.22,1.69,0.0,0.2
194,196,3733,16,2006.0,3,426,3.81,0.63,0.0,0.68
195,197,7768,17,2009.0,0,85,1.96,1.43,1.08,0.65
196,198,3650,30,2014.0,0,493,2.66,2.01,0.0,0.41
197,199,3656,19,2006.0,0,493,1.7,2.02,0.16,1.21
198,200,2889,17,2010.0,10,138,0.6,3.29,0.06,1.13
199,201,9201,5,1999.0,4,359,3.4,1.3,0.15,0.22
200,202,7759,15,1996.0,0,540,2.05,1.16,1.11,0.73
201,203,10212,15,1999.0,10,21,3.42,1.38,0.02,0.2
202,204,9290,27,2014.0,2,359,2.59,1.06,0.8,0.57
203,205,10779,15,1999.0,11,137,2.79,1.89,0.0,0.33
204,206,8905,15,1998.0,4,455,3.36,1.36,0.07,0.21
205,207,5134,26,2007.0,8,359,3.06,1.18,0.29,0.46
206,208,3734,16,2007.0,3,21,3.49,0.01,0.01,1.48
207,209,2928,28,2008.0,7,66,3.39,1.03,0.09,0.44
208,210,7237,4,2007.0,7,359,1.85,1.2,1.54,0.37
209,211,10486,17,2007.0,0,455,2.31,1.73,0.12,0.78
210,212,5352,16,2005.0,10,138,3.98,0.26,0.01,0.66
211,213,5044,4,2007.0,0,288,2.89,1.54,0.0,0.46
212,214,2092,10,1997.0,6,359,2.91,0.99,0.89,0.1
213,215,5972,19,2010.0,7,85,0.0,0.0,4.87,0.0
214,216,2352,11,1990.0,5,359,2.62,0.6,1.52,0.1
215,217,3568,17,2010.0,0,455,2.74,1.36,0.12,0.63
216,218,8999,13,2010.0,11,21,2.56,1.68,0.0,0.59
217,219,478,17,2007.0,1,524,1.91,2.0,0.09,0.83
218,220,2874,17,2014.0,10,138,0.57,3.14,0.04,1.07
219,221,1643,15,1999.0,6,455,2.57,1.57,0.44,0.21
220,222,2876,18,2016.0,10,138,0.28,3.75,0.06,0.69
221,223,659,28,2011.0,0,547,2.99,1.31,0.04,0.41
222,224,2523,15,2000.0,0,53,2.36,2.1,0.02,0.25
223,225,9915,16,2003.0,6,543,1.73,2.19,0.0,0.79
224,226,10213,15,2000.0,10,21,3.05,1.41,0.02,0.2
225,227,338,26,2008.0,9,359,1.87,1.12,1.32,0.37
226,228,9848,16,2002.0,0,138,1.94,1.95,0.08,0.7
227,229,3232,28,2011.0,6,323,2.08,2.04,0.06,0.47
228,230,10187,15,1996.0,0,137,2.29,1.97,0.13,0.24
229,231,3734,26,2007.0,3,21,3.06,1.12,0.0,0.44
230,232,9820,23,1991.0,0,359,2.42,0.91,1.15,0.13
231,233,9833,7,2002.0,0,359,2.6,0.99,0.89,0.13
232,234,5479,26,2009.0,10,445,1.89,1.99,0.22,0.48
233,235,5237,2,2013.0,0,359,1.78,1.39,1.1,0.3
234,236,8856,27,2015.0,8,359,1.55,1.15,1.44,0.43
235,237,9798,18,2014.0,0,455,1.78,1.87,0.07,0.82
236,238,3734,28,2007.0,3,21,3.19,0.92,0.01,0.42
237,239,5369,16,2004.0,10,138,4.18,0.26,0.01,0.08
238,240,7179,0,1981.0,4,21,4.21,0.24,0.0,0.05
239,241,5353,16,2006.0,10,138,3.63,0.24,0.01,0.61
240,242,8844,16,2002.0,0,21,2.71,1.51,0.03,0.23
241,243,2449,15,2000.0,7,144,0.2,0.14,4.1,0.02
242,244,10488,18,2015.0,0,455,1.96,1.69,0.08,0.74
243,245,1203,17,2014.0,8,21,1.54,1.94,0.19,0.77
244,246,3565,16,2005.0,0,455,2.71,1.29,0.02,0.43
245,247,6694,27,2012.0,3,359,2.55,1.11,0.46,0.33
246,248,5792,26,2010.0,3,524,2.67,1.35,0.01,0.39
247,249,10215,16,2001.0,10,21,2.66,1.29,0.01,0.46
248,250,10876,16,2006.0,10,275,0.1,2.39,1.05,0.86
249,251,9671,28,2006.0,7,493,2.82,1.05,0.13,0.4
250,252,11238,11,1987.0,1,359,2.19,0.5,1.61,0.08
251,253,6582,16,2005.0,6,138,2.03,1.79,0.08,0.47
252,254,7793,17,2006.0,8,455,1.73,1.73,0.14,0.75
253,255,8748,8,1991.0,4,445,3.03,0.91,0.26,0.13
254,256,4868,16,2005.0,7,464,2.2,0.58,1.38,0.17
255,257,2873,28,2013.0,10,138,0.92,2.93,0.01,0.46
256,258,1203,28,2014.0,8,21,2.75,1.18,0.0,0.37
257,259,500,0,1980.0,8,53,4.0,0.26,0.0,0.05
258,260,2910,28,2008.0,7,323,2.51,1.27,0.11,0.41
259,261,3831,30,2015.0,8,323,2.64,1.2,0.03,0.39
260,262,9196,27,2013.0,4,359,2.11,1.11,0.72,0.3
261,263,658,17,2009.0,0,137,2.23,1.34,0.07,0.61
262,264,490,17,2011.0,0,524,1.41,2.02,0.1,0.72
263,265,6459,6,2001.0,3,347,3.0,1.11,0.05,0.07
264,266,5738,16,2004.0,0,275,1.46,0.0,0.83,1.93
265,267,1902,19,2006.0,4,455,2.45,1.02,0.0,0.75
266,268,10736,13,1995.0,11,21,1.7,2.27,0.0,0.23
267,269,9826,2,2011.0,0,359,2.03,1.27,0.62,0.3
268,270,2883,16,2005.0,10,138,0.78,2.55,0.04,0.84
269,271,2825,16,2003.0,3,455,0.88,2.3,0.2,0.83
270,272,10485,18,2016.0,8,455,1.3,2.07,0.18,0.65
271,273,3635,17,2007.0,6,455,1.28,1.83,0.57,0.53
272,274,490,28,2011.0,0,524,2.25,1.47,0.04,0.43
273,275,9066,17,2009.0,2,85,2.02,1.06,0.58,0.53
274,276,2872,28,2011.0,10,138,0.84,2.79,0.02,0.53
275,277,9507,11,1989.0,0,385,3.38,0.44,0.31,0.04
276,278,2803,11,1984.0,6,359,2.04,0.48,1.57,0.07
277,279,3271,15,1997.0,0,214,3.79,0.27,0.0,0.11
278,280,5367,16,2002.0,10,138,3.36,0.21,0.01,0.56
279,281,10782,18,2014.0,0,524,1.4,1.86,0.11,0.77
280,282,3821,13,1997.0,8,543,4.03,0.0,0.09,0.0
281,283,9216,23,1995.0,4,359,1.65,0.61,1.76,0.09
282,284,2884,16,2006.0,10,138,0.71,2.48,0.03,0.89
283,285,9830,26,2011.0,0,359,2.14,1.2,0.37,0.4
284,286,9062,23,1992.0,2,85,1.42,0.51,2.1,0.07
285,287,1263,26,2007.0,3,493,2.13,1.5,0.05,0.42
286,288,2931,30,2015.0,7,66,2.45,1.26,0.01,0.37
287,289,11022,13,2007.0,7,21,2.57,1.52,0.0,0.0
288,290,2935,28,2010.0,7,66,2.65,1.06,0.04,0.33
289,291,3567,16,2007.0,0,455,2.32,0.04,0.04,1.67
290,292,3229,28,2007.0,6,323,2.35,1.28,0.03,0.41
291,293,10993,16,2005.0,10,275,0.12,2.26,0.9,0.77
292,294,6469,15,1996.0,3,455,2.28,1.55,0.16,0.06
293,295,9530,16,2000.0,2,347,1.68,1.51,0.51,0.35
294,296,2992,18,2014.0,8,524,1.12,2.12,0.1,0.69
295,297,8922,10,1997.0,8,359,2.78,0.58,0.64,0.04
296,298,5847,18,2014.0,3,457,1.38,1.87,0.12,0.65
297,299,3608,11,1984.0,10,359,1.22,0.28,2.46,0.04
298,300,2928,17,2008.0,7,66,2.15,1.2,0.07,0.59
299,301,7450,4,2007.0,5,359,0.92,1.78,0.92,0.37
300,302,5080,28,2009.0,8,138,2.67,0.89,0.05,0.37
301,303,6472,16,2005.0,3,347,2.08,1.35,0.0,0.54
302,304,2621,26,2009.0,10,138,2.1,1.36,0.06,0.4
303,305,492,18,2014.0,0,524,1.18,1.96,0.08,0.7
304,306,2295,5,1994.0,4,359,1.97,0.76,1.07,0.11
305,307,10220,16,2003.0,10,21,2.29,1.17,0.01,0.42
306,308,485,17,2013.0,0,524,1.33,1.71,0.13,0.73
307,309,5968,2,2014.0,7,359,0.67,0.49,2.62,0.11
308,310,6069,17,2006.0,6,455,1.53,1.61,0.06,0.67
309,311,9673,13,2011.0,7,66,1.15,2.09,0.0,0.64
310,312,9527,16,2005.0,2,347,0.93,1.94,0.31,0.7
311,313,2464,11,1988.0,7,144,0.1,0.0,3.77,0.0
312,314,8884,17,2010.0,10,455,2.12,1.14,0.1,0.51
313,315,6250,18,2015.0,10,493,2.48,0.65,0.03,0.69
314,316,10991,16,2004.0,10,275,0.16,1.89,1.12,0.68
315,317,3176,4,2007.0,3,359,0.87,1.57,1.05,0.35
316,318,6467,15,1995.0,3,455,2.12,1.44,0.22,0.06
317,319,9822,5,1992.0,0,359,2.21,0.96,0.54,0.13
318,320,5471,4,2009.0,7,359,2.26,0.48,0.81,0.27
319,321,784,26,2007.0,3,359,1.06,1.93,0.41,0.43
320,322,6699,2,2011.0,9,359,1.44,1.37,0.73,0.27
321,323,660,18,2015.0,0,547,1.49,1.58,0.1,0.61
322,324,5477,26,2011.0,10,445,1.14,1.91,0.27,0.46
323,325,5027,28,2008.0,0,21,2.4,1.03,0.0,0.36
324,326,7774,15,1996.0,0,540,1.82,1.24,0.47,0.25
325,327,7650,19,2007.0,4,455,1.4,1.4,0.1,0.87
326,328,4628,26,2013.0,3,524,1.98,1.47,0.0,0.32
327,329,9957,13,2002.0,9,138,2.03,1.56,0.0,0.17
328,330,9232,26,2007.0,4,359,1.98,0.88,0.59,0.32
329,331,3890,15,2001.0,0,138,1.37,2.0,0.14,0.22
330,332,10006,18,2015.0,7,347,0.96,2.0,0.21,0.56
331,333,7765,15,1999.0,0,137,1.3,0.77,1.54,0.11
332,334,8911,15,2000.0,4,455,1.93,1.58,0.0,0.19
333,335,2895,16,2004.0,10,138,0.58,2.48,0.04,0.59
334,336,7269,5,1998.0,11,359,1.49,0.73,1.38,0.1
335,337,709,17,2013.0,8,138,1.3,1.51,0.27,0.61
336,338,6177,4,2007.0,9,138,1.59,1.61,0.08,0.41
337,339,3267,4,2009.0,3,359,0.0,0.0,3.67,0.0
338,340,10216,16,2002.0,10,21,2.13,1.18,0.01,0.35
339,341,5807,19,2005.0,6,493,1.65,1.22,0.0,0.79
340,342,609,10,1998.0,4,359,1.87,1.13,0.55,0.1
341,343,8075,16,2002.0,8,455,2.53,0.81,0.06,0.24
342,344,3744,26,2008.0,3,21,2.33,0.97,0.0,0.35
343,345,3636,17,2013.0,6,455,0.71,1.8,0.4,0.74
344,346,4402,16,2001.0,4,455,2.08,1.09,0.15,0.33
345,347,7251,10,1999.0,9,359,2.23,0.68,0.66,0.06
346,348,2888,17,2009.0,10,138,0.6,2.46,0.05,0.52
347,349,7405,16,2007.0,10,275,0.05,0.0,0.64,2.93
348,350,1208,18,2013.0,8,21,1.78,1.42,0.05,0.38
349,351,7766,16,2005.0,0,85,2.08,0.83,0.46,0.25
350,352,10181,18,2016.0,8,524,1.28,1.61,0.15,0.57
351,353,8968,16,2004.0,8,288,1.93,1.22,0.03,0.44
352,354,2307,13,1994.0,8,540,2.05,1.4,0.0,0.16
353,355,9916,16,2001.0,6,138,2.02,1.17,0.0,0.42
354,356,1587,4,2007.0,9,6,1.61,1.5,0.1,0.39
355,357,5236,7,2001.0,0,359,2.38,0.67,0.46,0.1
356,358,8969,16,2005.0,8,288,2.18,1.02,0.03,0.37
357,359,10696,15,2000.0,2,487,2.01,1.35,0.06,0.16
358,360,1685,15,1997.0,4,164,1.57,1.79,0.0,0.2
359,361,3652,16,2006.0,0,493,1.56,1.4,0.07,0.5
360,362,9693,16,2002.0,0,455,1.23,1.77,0.05,0.49
361,363,10191,15,1997.0,0,137,1.66,1.58,0.12,0.18
362,364,4413,16,2001.0,8,138,1.9,1.13,0.1,0.41
363,365,5045,16,2005.0,0,137,1.98,1.14,0.01,0.41
364,366,709,28,2013.0,8,138,2.14,1.08,0.02,0.29
365,367,2889,28,2010.0,10,138,0.71,2.4,0.02,0.4
366,368,7992,15,2000.0,0,487,1.96,1.33,0.0,0.23
367,369,8902,15,1999.0,4,455,2.14,1.21,0.01,0.17
368,370,5079,28,2008.0,8,138,2.66,0.5,0.05,0.3
369,371,5479,4,2009.0,10,445,1.22,1.66,0.27,0.38
370,372,7768,28,2009.0,0,85,2.11,0.94,0.12,0.34
371,373,2287,23,1996.0,4,359,1.17,0.5,1.75,0.08
372,374,489,28,2010.0,0,524,2.84,0.39,0.03,0.24
373,375,4981,11,1985.0,0,359,1.64,0.38,1.42,0.06
374,376,658,28,2009.0,0,137,2.2,0.97,0.02,0.31
375,377,1486,4,2006.0,3,359,0.59,1.83,0.73,0.35
376,379,8948,30,2015.0,8,138,1.94,1.22,0.02,0.31
377,380,712,28,2010.0,8,138,2.09,1.02,0.04,0.32
378,381,3739,4,2008.0,3,21,2.11,1.01,0.01,0.35
379,382,492,30,2014.0,0,524,2.26,0.89,0.0,0.3
380,383,2991,17,2012.0,8,524,0.88,1.75,0.1,0.72
381,384,5967,2,2013.0,7,85,0.0,0.0,3.44,0.0
382,385,971,28,2009.0,8,493,2.39,0.73,0.03,0.29
383,386,9526,16,2002.0,2,347,1.55,1.27,0.33,0.29
384,387,709,18,2013.0,8,138,1.34,1.54,0.17,0.38
385,388,5156,17,2011.0,4,455,1.82,1.07,0.06,0.47
386,389,3647,15,1998.0,0,493,1.13,2.07,0.0,0.22
387,390,3092,23,1994.0,7,465,0.86,0.0,2.55,0.02
388,391,8836,16,2004.0,0,21,1.75,1.2,0.02,0.43
389,392,2837,5,1990.0,6,359,1.73,0.69,0.59,0.4
390,393,2892,16,2002.0,10,138,0.46,2.28,0.05,0.61
391,394,1637,15,2000.0,3,455,1.56,1.47,0.19,0.17
392,395,5017,28,2008.0,0,547,2.03,1.03,0.0,0.32
393,396,5744,18,2015.0,0,275,1.08,1.35,0.48,0.47
394,397,9831,4,2009.0,0,359,1.43,0.94,0.74,0.27
395,398,10699,15,1998.0,2,17,2.47,0.76,0.0,0.13
396,399,9824,10,2000.0,0,359,1.9,0.67,0.73,0.06
397,400,7453,4,2008.0,5,359,0.65,1.61,0.82,0.28
398,401,7997,15,1998.0,1,487,1.63,1.53,0.0,0.18
399,402,485,28,2013.0,0,524,1.9,1.14,0.01,0.29
400,403,2743,4,2006.0,3,359,0.0,0.99,2.32,0.02
401,404,4417,16,2002.0,8,138,1.45,1.29,0.12,0.46
402,405,7638,16,2002.0,4,455,1.44,1.01,0.57,0.3
403,406,5506,26,2012.0,3,359,1.15,1.17,0.76,0.24
404,407,8956,16,2005.0,0,288,1.47,1.39,0.03,0.43
405,408,5573,16,2001.0,8,493,1.99,1.05,0.05,0.22
406,409,9846,16,2003.0,0,138,1.5,1.28,0.05,0.46
407,410,486,18,2015.0,0,524,0.8,1.92,0.06,0.5
408,411,2037,30,2014.0,8,21,2.13,0.92,0.0,0.23
